FID;id;kkorgnr;enhedsnavn;forvaltning;centernavn;enhedstype;ejerforhold;distrikt;koerorgnr;remedybetaler;ean;cvr;se;opusnavn;losorg;losnavn;adm_enheds_id;pnummer;telefon;mail;facebook;www;vejadresseringsnavn;vejnavn;postnummer;bynavn;husnummer;etage;doerbetegnelse;adresse;nordlig;oestlig;giskoory;giskoorx;vejkode;kommunenavn;kommunekode;postboks;skoledistrikt;socialdistrikt;politidistrikt;postdistrikt;bydelnavn;rodenr;rodenavn;lokaludvalgnr;lokaludvalgnavn;locationuuid;type;alias;primaer;hemmelige;offentlig;lokationsnr;enhedsnr;cvr_branchekode;link_kkorg;ogc_fid;wkb_geometry
kkorg_enheder_offentlig.1;300;1885;Børnehuset Nørregro;BUF;Område Nørrebro/Bispebjerg;Aldersintegrerede institutioner;Selvejende;Nørrebro-Bispebjerg;35561;35561;;27166113;27166113;;355619999;Nørrebro/Bispebjerg Netværk 1;1025686;1003021389;35355001;35561@buf.kk.dk;;https://nørregro.dk;Læssøesgade 22;Læssøesgade;2200;København N;22;;;Læssøesgade 22, 2200 København N;125.633.626;55.691.453;6177495.51;723953.82;4532;København;101;;Guldberg Skole;Nørrebro;;København N;Nørrebro;110;Nørre Hospitals;4;Nørrebro;74e9c288-c481-4c19-b2bc-2dc63e5ebb6d;Aldersintegreret institution, Borgerhenvendelse, Daginstitution, Opsamlingsadresse, Vuggestue;;JA;No;JA;L3678;U458;889150;https://kkorg.kk.dk/tree-unit/5ba3c71876989e0638000243;1;MULTIPOINT ((12.563362570159033 55.69145305667543))
kkorg_enheder_offentlig.2;1098;1788;Christianshavns Skole;BUF;Område Indre By/Østerbro;Folkeskoler o.lign.;Kommunal;Indre By-Østerbro;31017;31017;5,79801E+12;64942212;82601015;;310170000;;800270;1003254751;33663800;chr@kk.dk;;https://chr.aula.dk;Prinsessegade 45;Prinsessegade;1422;København K;45;;;Prinsessegade 45, 1422 København K;125.963.746;556.742.949;6175694.5;726126.66;5612;København;101;;Christianshavns Skole;City-Østerbro;;København K;Indre by;42;Vor Frelsers;1;Christianshavn;31b8c22e-f10b-4355-8f62-2a7a1b187684;Borgerhenvendelse, Distriktsskole;;JA;No;JA;L2001;U629;852010;https://kkorg.kk.dk/tree-unit/5ba3c71b76989e0638000645;2;MULTIPOINT ((12.596374631334031 55.67429497524351))
kkorg_enheder_offentlig.3;455;5308;Fritidscenter Ydre Valby;BUF;Fagligt Center;Fritids- og ungdomsklubber;Kommunal;Valby-Vesterbro-Kgs. Enghave;37931;37931;5,79801E+12;64942212;82601015;;5308;Fritidsklynge Valby/Vesterbro/Kgs. Enghave;1031742;1003184400;82563260;37931@buf.kk.dk;;https://fc-YdreValby-kk.aula.dk;Vigerslev Allé 177;Vigerslev Allé;2500;Valby;177;;;Vigerslev Allé 177, 2500 Valby;124.871.985;556.554.342;6173246.15;719370.76;8308;København;101;;Harrestrup Å Skole;Valby-Vesterbro-Kgs. Enghave;;Valby;Valby;223;Centerparkens;7;Valby;92925abd-aba7-43a4-8c62-9ce5a688f194;Borgerhenvendelse, Fritidscenter, Fritidsklub, Ungdomsklub;;JA;No;JA;L3691;U193;889160;https://kkorg.kk.dk/tree-unit/5ba3c71476989e11dc00460d;3;MULTIPOINT ((12.487198464870145 55.655434202768504))
kkorg_enheder_offentlig.4;1319;3691;Lions Neurocenter - Støtteteam - Hverdagsrehabilitering;SOF;Borgercenter Handicap;Døgninstitutioner for personer med fysisk handicap;Selvejende;Bispebjerg;64721;64721;5,79E+12;25527747;25527747;LN - Støtteteam - Hverdagsrehabiliterin;647215426;BCH-CEH;752519;1007809413;33663366;;;;Tuborgvej 181;Tuborgvej;2400;København NV;181;;;Tuborgvej 181, 2400 København NV;12.541.565;557.179.498;6180372.11;722433.83;7684;København;101;;Tagensbo Skole;Bispebjerg;;København NV;Bispebjerg;313;Lersøparkens;10;Bispebjerg;9feecd1e-f736-4675-8006-7e6909e88417;Handicaptilbud;;JA;No;JA;L3740;U2795;873010;https://kkorg.kk.dk/tree-unit/5ba3c73f76989e12d8005dc9;4;MULTIPOINT ((12.541565003528287 55.71794983435201))
kkorg_enheder_offentlig.5;95;1794;Ministeriernes Børnehus;BUF;Område Indre By/Østerbro;Aldersintegrerede institutioner;Selvejende;Indre By-Østerbro;35236;35236;;86223910;82601015;;352369999;Indre By/Østerbro Netværk 4;1025745;1002741865;25550178;35236@buf.kk.dk;;https://ministeriernesboernehus-kk.aula.dk;Frederiksholms Kanal 28D;Frederiksholms Kanal;1220;København K;28D;;;Frederiksholms Kanal 28D, 1220 København K;125.781.228;556.729.244;6175482.69;724987.47;1956;København;101;;Den Classenske Legatskole;City-Østerbro;;København K;Indre by;4;Kalvebodernes;2;Indre By;c634f847-7326-412f-9a65-f41bcf1a6f7b;Aldersintegreret institution, Daginstitution, Vuggestue;;JA;No;JA;L714;U622;889150;https://kkorg.kk.dk/tree-unit/5ba3c71b76989e063800061b;5;MULTIPOINT ((12.578122810728164 55.67292441872379))
kkorg_enheder_offentlig.6;1528;3619;Botilbuddet Røde Mellemvej;SOF;Borgercenter Voksne;Døgninstitutioner for personer med psykiske handicap;Kommunal;Amager Vest;64715;64715;5,79801E+12;64942212;55072817;;647153001;BCV Center Amager;752470;1020907106;33663366;;;;Sundbygårdsvej 3;Sundbygårdsvej;2300;København S;3;;;Sundbygårdsvej 3, 2300 København S;125.906.314;556.488.224;6172842.94;725912.5;7105;København;101;;Peder Lykke Skolen;Amager;;København S;Amager Vest;340;Gammelgangs;12;Amager Vest;de66592a-95d0-415b-b99b-3b33c7cbee5f;Tilbud;;JA;No;JA;L3680;U3304;872010;https://kkorg.kk.dk/tree-unit/5ba3c74876989e15240001b7;6;MULTIPOINT ((12.59063137384361 55.64882245137051))
kkorg_enheder_offentlig.7;786;4578;Kommunal Dagpleje;BUF;Administrativt Ressourcecenter;Aldersintegrerede institutioner;Kommunal;Forvaltning - niv. 3 enhed under fagkontor;37105;37105;5,79801E+12;64942212;82601015;;371051050;;801740;1020426876;36465753;;;;Blommestien 8;Blommestien;2500;Valby;8;;;Blommestien 8, 2500 Valby;125.046.848;556.486.596;6172548.18;720508.38;612;København;101;;Harrestrup Å Skole;Valby-Vesterbro-Kgs. Enghave;;Valby;Valby;226;Druehavens;7;Valby;c2428057-9ecd-49d7-8dc4-1f6c261d1daf;Borgerhenvendelse, Dagpleje, Legestue;;NEJ;No;JA;L4905;U828;889150;https://kkorg.kk.dk/tree-unit/5ba3c71e76989e0e080052cf;7;MULTIPOINT ((12.50468479671178 55.648659674383694))
kkorg_enheder_offentlig.8;1210;5382;Fritidscenter Ydre Nørrebro/KlubN;BUF;Fagligt Center;Fritids- og ungdomsklubber;Selvejende;Nørrebro-Bispebjerg;35920;35920;;37777773;37777773;;5382;Fritid og Unge;1031941;1021513594;35837800;35920@buf.kk.dk;;https://www.fcyn.dk/;Skodsborggade 6;Skodsborggade;2200;København N;6;3;;Skodsborggade 6, 2200 København N;125.434.689;556.972.371;6178074.68;722671.2;6484;København;101;;Nørrebro Park Skole;Nørrebro;;København N;Nørrebro;146;Nørrebroparkens;4;Nørrebro;2a7c55de-f4ce-4737-89bb-6f7cfed0c04f;Borgerhenvendelse, Fritidscenter, Fritidsklub;;JA;No;JA;L307;U382;889160;https://kkorg.kk.dk/tree-unit/5ba3c71776989e13ec00302b;8;MULTIPOINT ((12.543468878456663 55.69723715768498))
kkorg_enheder_offentlig.9;784;4579;Flerbørnsdagpleje;BUF;Administrativt Ressourcecenter;Dagplejemødre;Kommunal;Forvaltning - niv. 3 enhed under fagkontor;37105;37105;5,79801E+12;64942212;82601015;;371051051;;817975;1024689960;30453570;;;;Estlandsgade 4;Estlandsgade;1724;København V;4;st;;Estlandsgade 4, 1724 København V;125.524.718;556.680.568;6174858.4;723403.08;1688;København;101;;Oehlenschlægersgades Skole;Valby-Vesterbro-Kgs. Enghave;;København V;Vesterbro-Kongens Enghave;176;Isteds;5;Vesterbro;c63a2f07-48d8-4ff7-ab26-cb7f5aa1fc74;Borgerhenvendelse, Dagpleje, Flerbørnsdagpleje;;NEJ;No;JA;L4899;U829;889110;https://kkorg.kk.dk/tree-unit/5ba3c71e76989e0e080052d5;9;MULTIPOINT ((12.552471817568057 55.668056863627406))
kkorg_enheder_offentlig.10;650;738;Bomi-Parken;SUF;Sundhed og Ældre - Kbh Syd;Plejehjem;Selvejende;Syd;22106;22106;5,79801E+12;23099314;23099314;;221060001;Syd 2;750990;1006386549;82566700;bomi-parken@kk.dk;;https://www.boligertilaeldre.kk.dk/bomi-parken;Gyldenrisvej 4;Gyldenrisvej;2300;København S;4;;;Gyldenrisvej 4, 2300 København S;12.614.543;55.642.113;6172174.95;727455.14;2456;København;101;;Gerbrandskolen;Amager;;København S;Amager Vest;357;Ulvefod;12;Amager Vest;9b0d914d-0591-43d9-a1cf-6c06a5c600f0;Offentlig, Plejebolig;;JA;No;JA;L1748;U2428;871010;https://kkorg.kk.dk/tree-unit/5ba3c73976989e158c006fbf;10;MULTIPOINT ((12.614542978881476 55.64211306600749))
